Credit,balance_credit_acc,duration,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,Random
1,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,1,1,1,8
1,2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,1,1,1,8
0,2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,1,1,1,8
1,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,2,2,1,8
1,1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,2,1,1,8
1,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,1,8
1,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,1,8
1,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,1,8
1,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,1,8
0,1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,1,2,1,8
1,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,1,2,1,8
1,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,1,2,1,8
1,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,1,8
1,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,1,2,1,8
1,4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,1,2,1,8
1,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,1,2,1,8
1,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,1,8
1,4,9,2,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,1,1,1,8
1,4,6,4,0,6761,1,4,1,3,1,3,4,45,3,2,2,4,2,2,1,8
1,1,12,2,3,1107,1,3,2,3,1,2,1,20,3,1,1,4,2,2,1,8
1,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,1,8
1,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,1,2,1,8
1,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,1,2,8
1,1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,1,1,1,8
1,4,24,4,3,1516,4,3,4,2,1,1,1,43,3,2,2,2,1,1,1,8
1,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,2,1,1,8
1,4,54,0,1,9436,5,3,2,3,1,2,2,39,3,2,1,2,2,1,1,8
1,1,6,2,0,662,1,2,3,3,1,4,1,41,3,2,1,2,2,2,1,8
1,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2,8
1,4,24,4,0,1287,4,5,4,2,1,4,1,37,3,2,2,3,1,2,1,8
1,4,24,4,6,1927,5,3,3,2,1,2,3,33,3,2,2,3,1,2,1,8
1,1,24,1,1,3632,1,3,1,2,3,4,3,22,1,1,1,3,1,1,2,8
1,4,18,4,1,3229,5,1,2,3,1,4,4,38,3,2,1,4,1,2,1,8
1,4,10,4,2,2069,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2,8
1,4,6,4,2,1221,5,3,1,4,1,2,2,27,3,2,2,3,1,1,1,8
1,1,24,2,2,3021,1,3,2,1,1,2,1,24,3,1,1,2,1,1,1,8
1,4,15,2,1,3029,1,4,2,3,1,2,3,33,3,2,1,3,1,1,1,8
1,4,15,2,1,4657,1,3,3,3,1,2,3,30,3,2,1,3,1,2,1,8
1,4,12,4,3,717,1,5,4,3,1,4,1,52,3,2,3,3,1,1,1,8
1,2,9,2,0,3195,5,3,1,2,1,2,1,33,3,2,1,2,1,1,1,8
1,4,12,2,2,1574,1,3,4,3,1,2,1,50,3,2,1,3,1,1,1,8
1,4,36,2,1,4686,1,3,2,3,1,2,4,32,3,3,1,4,1,2,1,8
1,4,12,4,2,5801,5,5,2,3,1,4,2,49,3,1,1,3,1,2,2,8
1,4,12,4,2,1592,4,4,3,2,1,2,2,35,3,2,1,3,1,1,1,8
1,4,12,4,9,1185,1,3,3,2,1,2,1,27,3,2,2,3,1,1,1,8
1,4,24,2,0,1249,1,2,4,4,1,2,1,28,3,2,1,3,1,1,1,8
1,4,6,2,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,2,1,1,8
1,4,6,4,3,1740,1,5,2,4,1,2,1,30,3,1,2,3,1,1,1,8
1,4,18,2,3,1126,5,2,4,2,1,2,1,21,3,1,1,3,1,2,1,8
1,1,12,2,3,701,1,3,4,4,1,2,1,40,3,2,1,2,1,1,1,8
1,4,4,4,0,3380,1,4,1,2,1,1,1,37,3,2,1,3,2,1,1,8
1,4,6,4,0,362,2,3,4,2,1,4,3,52,3,2,2,2,1,1,1,8
1,3,12,2,0,1330,1,2,4,3,1,1,1,26,3,2,1,3,1,1,1,8
1,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,2,2,1,8
1,1,12,2,0,1893,1,3,4,2,3,4,2,29,3,2,1,3,1,2,1,8
1,1,6,4,2,1872,1,1,4,3,1,4,4,36,3,3,3,4,1,2,1,8
1,1,36,2,2,3959,1,1,4,3,1,3,2,30,3,2,1,4,1,2,1,8
0,1,12,4,2,2246,1,5,3,3,1,3,2,60,3,2,2,3,1,1,1,8
1,4,24,4,3,2223,2,5,4,3,1,4,2,52,1,2,2,3,1,1,1,8
1,2,13,4,3,882,1,2,4,3,3,4,1,23,3,2,2,3,1,1,1,8
1,2,7,2,3,2415,1,3,3,3,3,2,1,34,3,2,1,3,1,1,1,8
1,2,6,2,5,454,1,2,3,4,1,1,2,22,3,2,1,2,1,1,1,8
1,4,12,2,2,1768,1,3,3,3,1,2,1,24,3,1,1,2,1,1,1,8
0,1,36,2,1,8335,5,5,3,3,1,4,4,47,3,3,1,3,1,1,1,8
1,4,48,4,6,6110,1,3,1,3,1,3,4,31,1,3,1,3,1,2,1,8
1,2,60,3,3,9157,5,3,2,3,1,2,4,27,3,3,1,4,1,1,1,8
1,1,15,2,0,2511,1,1,1,2,1,4,3,23,3,1,1,3,1,1,1,8
1,4,30,2,1,4811,5,4,2,2,1,4,2,24,2,1,1,2,1,1,1,8
1,2,36,3,0,2862,2,5,4,3,1,3,4,30,3,3,1,3,1,1,1,8
0,2,6,2,0,14555,5,1,1,3,1,2,2,23,3,2,1,1,1,2,1,8
0,1,24,4,0,1199,1,5,4,3,1,4,3,60,3,2,2,2,1,1,1,8
0,2,36,4,0,2820,1,2,4,1,1,4,3,27,3,2,2,3,1,1,1,8
0,2,60,2,6,6288,1,3,4,3,1,4,4,42,3,3,1,3,1,1,1,8
0,4,9,2,3,1478,1,4,4,3,1,2,3,22,3,2,1,3,1,1,1,8
0,1,6,4,2,3384,1,3,1,1,1,4,1,44,3,1,1,4,1,2,1,8
0,2,36,2,0,14318,1,5,4,3,1,2,4,57,3,3,1,4,1,2,1,8
0,2,15,3,5,1512,4,3,3,4,1,3,2,61,2,2,2,3,1,1,1,8
0,1,24,2,0,1371,5,3,4,2,1,4,1,25,3,1,1,3,1,1,1,8
0,2,12,2,5,639,1,3,4,3,1,2,3,30,3,2,1,3,1,1,1,8
0,2,27,4,3,2520,3,3,4,3,1,2,2,23,3,2,2,2,1,1,1,8
0,2,36,2,6,12612,2,3,1,3,1,4,4,47,3,3,1,3,2,2,1,8
0,1,48,2,4,3051,1,3,3,3,1,4,3,54,3,2,1,3,1,1,1,8
0,2,15,1,0,1264,2,3,2,4,1,2,2,25,3,1,1,3,1,1,1,8
0,2,24,3,2,2064,1,1,3,2,1,2,2,34,3,2,1,4,1,2,1,8
0,4,10,2,0,1309,5,3,4,3,3,4,2,27,3,2,1,2,1,1,1,8
0,1,20,4,0,2235,1,3,4,4,3,2,2,33,1,1,2,3,1,1,2,8
0,2,21,2,9,1188,1,5,2,2,1,4,2,39,3,2,1,3,2,1,1,8
0,3,12,1,9,609,1,2,4,2,1,1,1,26,1,2,1,1,1,1,1,8
0,2,30,0,9,4280,2,3,4,2,1,4,3,26,3,1,2,2,1,1,1,8
0,4,18,2,0,6761,5,3,2,3,1,4,3,68,2,1,2,3,1,1,1,8
0,2,54,0,9,15945,1,2,3,3,1,4,4,58,3,1,1,3,1,2,1,8
0,1,12,2,1,3386,1,5,3,3,1,4,4,35,3,3,1,3,1,2,1,8
0,2,24,2,0,2718,1,3,3,2,1,4,2,20,3,1,1,2,1,2,1,8
0,1,12,0,3,6199,1,3,4,3,1,2,2,28,3,1,2,3,1,2,1,8
0,1,30,2,2,6350,5,5,4,3,1,4,2,31,3,2,1,3,1,1,1,8
1,1,9,4,0,2799,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,9
1,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,2,1,2,9
1,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1,9
1,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1,9
1,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1,9
1,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,1,9
1,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,1,1,1,9
1,1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,1,1,2,9
1,4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,1,2,1,9
1,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,1,9
1,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,1,2,1,9
1,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,1,2,1,9
1,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,2,1,9
1,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,1,2,1,9
1,2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,1,2,1,9
1,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,2,1,9
1,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,1,2,1,9
1,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,1,9
1,4,12,2,0,2390,5,5,4,3,1,3,3,50,3,2,1,3,1,2,1,9
1,1,21,2,0,3763,5,4,2,3,2,2,1,24,3,2,1,2,1,1,2,9
1,3,30,4,3,3656,5,5,4,3,1,4,2,49,2,2,2,2,1,1,1,9
1,4,21,2,2,2241,1,5,4,3,1,2,1,50,3,2,2,3,1,1,1,9
1,2,18,3,5,6204,1,3,2,3,1,4,1,44,3,2,1,2,2,2,1,9
1,1,15,3,2,3643,1,5,1,2,1,4,2,27,3,2,2,2,1,1,1,9
1,4,5,2,9,3448,1,4,1,3,1,4,1,74,3,2,1,2,1,1,1,9
1,4,22,2,3,2675,3,5,3,3,1,4,3,40,3,2,1,3,1,1,1,9
1,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1,9
1,4,15,3,3,1478,1,3,4,4,1,3,1,33,1,2,2,3,1,1,1,9
0,3,9,2,3,745,1,3,3,2,1,2,1,28,3,2,1,2,1,1,1,9
1,4,12,4,0,682,2,4,4,2,1,3,3,51,3,2,2,3,1,2,1,9
1,1,12,4,0,2121,1,3,4,3,1,2,2,30,3,2,2,3,1,1,1,9
1,4,21,3,2,1591,2,4,4,3,1,3,1,34,3,2,2,4,1,1,1,9
1,2,15,2,5,1514,2,3,4,3,3,2,1,22,3,2,1,3,1,1,1,9
1,4,30,4,3,6742,5,4,2,3,1,3,2,36,3,2,2,3,1,1,1,9
1,1,6,2,1,1352,3,1,1,2,1,2,2,23,3,1,1,1,1,2,1,9
1,4,24,2,3,3181,1,2,4,2,1,4,2,26,3,2,1,3,1,2,1,9
1,2,48,2,10,5381,5,1,3,3,1,4,4,40,1,3,1,1,1,2,1,9
1,2,18,2,9,1913,4,2,3,4,1,3,1,36,1,2,1,3,1,2,1,9
1,4,24,3,9,2978,5,3,4,3,1,4,1,32,3,2,2,3,2,2,1,9
1,2,16,4,0,1175,1,1,2,3,1,3,3,68,3,3,3,1,1,2,1,9
1,1,12,2,6,1200,5,3,4,2,1,4,2,23,1,1,1,3,1,2,1,9
1,4,27,3,9,5117,1,4,3,3,1,4,3,26,3,2,2,3,1,1,1,9
1,1,39,4,2,14179,5,4,4,3,1,4,2,30,3,2,2,4,1,2,1,9
1,4,12,4,3,618,1,5,4,3,1,4,1,56,3,2,1,3,1,1,1,9
1,2,20,3,10,2629,1,3,2,3,1,3,3,29,1,2,2,3,1,2,1,9
1,4,15,2,0,5324,3,5,1,2,1,4,4,35,3,3,1,3,1,1,1,9
1,4,18,2,2,1984,1,3,4,3,1,4,4,47,1,3,2,3,1,1,1,9
1,4,18,2,2,3422,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1,9
1,4,12,4,6,2748,1,5,2,2,1,4,4,57,1,3,3,2,1,1,1,9
1,4,12,2,0,3527,5,2,2,3,1,3,2,45,3,2,1,4,2,2,1,9
1,4,18,2,3,2051,1,2,4,3,1,1,1,33,3,2,1,3,1,1,1,9
1,4,24,4,1,4042,5,4,3,3,1,4,2,43,3,2,2,3,1,2,1,9
1,2,24,2,3,2896,2,2,2,3,1,1,3,29,3,2,1,3,1,1,1,9
0,4,24,2,3,5943,5,2,1,2,1,1,3,44,3,2,2,3,1,2,1,9
1,1,18,2,3,2389,1,2,4,2,1,1,3,27,2,2,1,3,1,1,1,9
1,4,12,4,2,1402,3,4,3,2,1,4,3,37,3,1,1,3,1,2,1,9
1,2,12,2,0,2002,1,4,3,3,1,4,2,30,3,1,1,3,2,2,1,9
1,4,10,2,8,894,5,4,4,2,1,3,2,40,3,2,1,3,1,2,1,9
0,1,12,2,4,741,2,1,4,2,1,3,2,22,3,2,1,3,1,1,1,9
1,1,18,4,0,5302,1,5,2,3,1,4,4,36,3,3,3,4,1,2,1,9
0,1,36,4,2,6229,1,2,4,2,2,4,4,23,3,1,2,2,1,2,1,9
1,1,12,2,2,708,1,3,2,3,3,3,2,38,3,2,1,2,2,1,1,9
1,1,6,2,0,1374,5,1,4,2,1,3,2,75,3,2,1,4,1,2,1,9
1,2,6,3,2,1050,1,1,4,3,1,1,2,35,2,2,2,4,1,2,2,9
1,1,15,2,2,1845,1,2,4,2,3,1,2,46,3,1,1,3,1,1,1,9
1,4,24,4,10,6314,1,1,4,3,2,2,4,27,1,2,2,4,1,2,1,9
1,1,24,4,1,6615,1,1,2,3,1,4,4,75,3,3,2,4,1,2,1,9
1,4,6,2,8,1238,5,1,4,3,1,4,2,36,3,2,1,4,2,2,1,9
1,2,12,2,8,754,5,5,4,3,1,4,2,38,3,2,2,3,1,1,1,9
1,2,18,4,3,1795,1,5,3,2,3,4,1,48,1,1,2,2,1,2,1,9
1,2,10,2,2,1521,1,3,4,1,1,2,3,31,3,2,1,2,1,1,1,9
1,3,18,2,2,3049,1,2,1,2,1,1,2,45,2,2,1,2,1,1,1,9
1,2,45,4,1,4576,2,1,3,3,1,4,3,27,3,2,1,3,1,1,1,9
0,2,72,2,3,5595,2,3,2,4,1,2,3,24,3,2,1,3,1,1,1,9
1,4,36,3,1,8947,5,4,3,3,1,2,3,31,2,2,1,4,2,2,1,9
1,2,15,2,5,1308,1,5,4,3,1,4,3,38,3,2,2,2,1,1,1,9
1,4,30,4,1,7596,5,5,1,3,1,4,3,63,3,2,2,3,1,1,1,9
1,4,6,2,2,1766,1,3,1,4,1,2,2,21,3,1,1,3,1,1,1,9
0,2,30,2,0,2150,1,3,4,2,3,2,4,24,1,2,1,3,1,1,1,9
0,2,48,2,3,3060,1,4,4,3,1,4,1,28,3,2,2,3,1,1,1,9
0,4,21,0,0,5003,5,3,1,2,1,4,2,29,1,2,2,3,1,2,1,9
0,2,39,4,3,4933,1,4,2,3,3,2,1,25,3,2,2,3,1,1,1,9
0,2,9,1,0,1437,2,4,2,3,1,3,4,29,3,2,1,3,1,1,1,9
0,1,12,2,6,795,1,2,4,2,1,4,2,53,3,2,1,3,1,1,1,9
0,1,24,2,0,1285,5,4,4,2,1,4,4,32,3,1,1,3,1,1,1,9
0,4,18,3,2,1808,1,4,4,2,1,1,1,22,3,2,1,3,1,1,1,9
0,4,36,3,9,7980,5,2,4,3,1,4,3,27,3,1,2,3,1,2,1,9
0,4,18,0,9,4165,1,3,2,3,1,2,3,36,2,2,2,3,2,1,1,9
0,2,24,4,10,11938,1,3,2,3,2,3,3,39,3,2,2,4,2,2,1,9
0,2,60,1,10,14782,2,5,3,2,1,4,4,60,1,3,2,4,1,2,1,9
0,2,30,4,0,4249,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1,9
0,1,9,2,3,1366,1,2,3,2,1,4,2,22,3,1,1,3,1,1,1,9
0,2,36,2,2,9034,2,2,4,3,2,1,4,29,3,1,1,4,1,2,1,9
0,1,18,2,2,1131,1,1,4,2,1,2,3,33,3,2,1,3,1,1,1,9
0,4,27,2,0,2570,1,3,3,2,1,3,1,21,3,1,1,3,1,1,1,9
0,1,12,2,0,1274,1,2,3,2,1,1,1,37,1,2,1,2,1,1,1,9
0,1,12,2,3,709,1,5,4,3,1,4,1,57,3,2,1,2,1,1,1,9
0,4,30,1,1,7485,5,1,4,2,1,1,1,53,1,2,1,4,1,2,1,9
0,4,48,4,1,11590,2,3,2,2,1,4,3,24,3,1,2,2,1,1,1,9
0,3,18,2,3,2100,1,3,4,3,2,2,1,37,3,2,1,3,1,1,1,9
0,1,6,2,0,14896,1,5,1,3,1,4,4,68,1,2,1,4,1,2,1,9
0,1,48,2,3,6999,1,4,1,4,3,1,1,34,3,2,2,3,1,2,1,9
1,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,1,1,1,10
1,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,2,1,1,10
1,4,12,4,3,2331,5,5,1,3,2,4,1,49,3,2,1,3,1,2,1,10
1,4,12,4,3,1655,1,5,2,3,1,4,1,63,3,2,2,2,1,2,1,10
1,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,1,2,1,10
1,4,24,4,0,2022,1,3,4,2,1,4,3,37,3,2,1,3,1,2,1,10
0,2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,1,2,1,10
1,1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,1,1,1,10
1,1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,1,1,1,10
1,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,1,2,1,10
1,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,1,2,1,10
1,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,1,10
1,4,21,2,1,2476,5,5,4,3,1,4,1,46,3,2,1,4,1,2,1,10
1,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1,10
1,4,24,2,3,3235,3,5,3,1,1,2,3,36,3,2,1,4,1,2,1,10
1,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1,10
1,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1,10
1,4,39,2,1,8588,2,5,4,3,1,2,3,45,3,2,1,4,1,2,1,10
0,2,12,2,0,685,1,4,2,4,1,3,3,25,1,2,1,2,1,1,1,10
1,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,1,1,1,10
1,4,60,2,0,10366,1,5,2,3,1,4,2,42,3,2,1,4,1,2,1,10
1,4,12,2,3,804,1,5,4,3,1,4,3,38,3,2,1,3,1,1,1,10
1,4,11,4,0,1393,1,2,4,2,1,4,3,35,3,2,2,4,1,1,1,10
1,4,24,2,1,2670,1,5,4,3,1,4,3,35,3,2,1,4,1,2,1,10
1,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,1,1,1,10
1,2,21,3,0,2353,1,3,1,1,1,4,2,47,3,2,2,3,1,1,1,10
1,1,21,2,3,3357,4,2,4,2,1,2,3,29,1,2,1,3,1,1,1,10
1,4,9,2,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,2,1,1,10
1,4,15,2,2,2221,3,3,2,2,1,4,3,20,3,1,1,3,1,1,1,10
1,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,2,1,1,10
1,4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,1,1,1,10
1,4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,1,1,1,10
1,3,12,2,3,3016,1,3,3,4,1,1,3,24,3,2,1,3,1,1,1,10
1,3,6,4,0,1343,1,5,1,3,1,4,1,46,3,2,2,3,2,1,2,10
1,4,6,4,3,1554,1,4,1,2,1,2,3,24,3,1,2,3,1,2,1,10
1,4,24,3,0,717,5,5,4,4,1,4,3,54,3,2,2,3,1,2,1,10
1,2,9,2,0,276,1,3,4,4,1,4,1,22,3,1,1,2,1,1,1,10
1,4,12,3,1,1503,1,3,4,4,1,4,1,41,3,1,1,3,1,1,1,10
1,2,9,2,9,1391,1,3,2,4,1,1,1,27,1,2,1,3,1,2,1,10
1,4,28,4,3,2743,1,5,4,3,1,2,3,29,3,2,2,3,1,1,1,10
1,2,39,3,6,11760,2,4,2,3,1,3,4,32,3,1,1,3,1,2,1,10
1,4,30,4,3,4530,1,4,4,2,1,4,3,26,3,1,1,4,1,2,1,10
1,1,27,4,9,2442,1,5,4,3,1,4,3,43,2,2,4,4,2,2,1,10
1,2,18,2,9,1941,4,3,4,3,1,2,2,35,3,2,1,2,1,2,1,10
1,2,18,4,2,7374,1,1,4,3,1,4,2,40,2,2,2,4,1,2,1,10
1,2,12,2,0,7472,5,1,1,2,1,2,1,24,3,1,1,1,1,1,1,10
1,2,12,2,1,2028,5,3,4,3,1,2,3,30,3,2,1,3,1,1,1,10
1,4,6,2,3,2108,1,4,2,4,1,2,1,29,3,1,1,3,1,1,1,10
1,4,24,4,0,2463,2,4,4,4,1,3,2,27,3,2,2,3,1,2,1,10
1,2,12,2,3,2930,1,4,2,2,1,1,1,27,3,2,1,3,1,1,1,10
1,3,12,2,3,1881,1,3,2,2,1,2,3,44,3,1,1,2,1,2,1,10
1,4,4,4,3,1544,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1,10
1,2,30,2,3,1715,5,3,4,2,1,1,3,26,3,2,1,3,1,1,1,10
1,2,14,2,9,1410,3,5,1,4,1,2,1,35,3,2,1,3,1,2,1,10
1,4,18,4,1,3850,1,4,3,3,1,1,3,27,3,2,2,3,1,1,1,10
1,4,48,2,3,10222,5,4,4,3,1,3,3,37,2,2,1,3,1,2,1,10
0,4,24,2,3,3621,2,5,2,3,1,4,3,31,3,2,2,3,1,1,1,10
1,1,12,2,2,1289,1,3,4,3,3,1,2,21,3,2,1,2,1,1,1,10
0,1,36,2,2,2712,1,5,2,3,1,2,2,41,1,2,1,3,2,1,1,10
0,1,30,2,2,3108,1,2,2,1,1,4,2,31,3,2,1,2,1,1,1,10
1,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1,10
1,1,36,2,0,3249,1,4,2,3,1,4,4,39,1,3,1,4,2,2,1,10
0,1,48,4,1,6143,1,5,4,2,1,4,4,58,2,3,2,2,1,1,1,10
1,1,36,2,10,15857,1,1,2,1,2,3,3,43,3,2,1,4,1,1,1,10
1,2,12,3,3,585,1,3,4,4,2,4,1,20,3,1,2,3,1,1,1,10
1,2,18,2,3,1113,1,3,4,2,3,4,1,26,3,2,1,2,2,1,1,10
1,2,12,2,3,625,1,2,4,4,3,1,1,26,1,2,1,2,1,1,1,10
1,1,9,4,3,1138,1,3,4,3,1,4,1,25,3,2,2,2,1,1,1,10
1,1,12,2,3,2214,1,3,4,3,1,3,2,24,3,2,1,2,1,1,1,10
1,2,36,1,4,3990,5,2,3,2,1,2,4,29,1,2,1,1,1,1,1,10
1,2,36,4,1,5800,1,3,3,3,1,4,3,34,3,2,2,3,1,2,1,10
1,4,60,2,0,6527,5,3,4,3,1,4,4,34,3,3,1,3,2,2,1,10
1,4,12,2,2,1736,1,4,3,2,1,4,1,31,3,2,1,2,1,1,1,10
0,4,18,4,0,1530,1,3,3,3,1,2,2,32,1,2,2,3,1,1,1,10
0,1,15,2,4,1275,5,3,4,2,1,2,3,24,3,1,1,3,1,1,1,10
0,4,24,2,3,2397,3,5,3,3,1,2,3,35,1,2,2,3,1,2,1,10
0,1,24,2,0,1207,1,2,4,2,1,4,2,24,3,1,1,3,1,1,1,10
0,1,24,2,2,3345,1,5,4,3,1,2,2,39,3,1,1,4,1,2,1,10
0,1,60,2,9,7297,1,5,4,3,2,4,4,36,3,1,1,3,1,1,1,10
0,1,24,2,3,1938,1,2,4,1,1,3,2,32,3,2,1,3,1,1,1,10
0,1,21,2,3,1835,1,3,3,2,1,2,1,25,3,2,2,3,1,2,1,10
0,2,24,2,2,4057,1,4,3,1,1,3,3,43,3,2,1,3,1,2,1,10
0,4,12,2,0,1386,3,3,2,2,1,2,2,26,3,2,1,3,1,1,1,10
0,4,18,2,2,1533,1,2,4,4,2,1,2,43,3,2,1,2,2,1,1,10
0,1,18,2,2,2473,1,1,4,3,1,1,3,25,3,2,1,1,1,1,1,10
0,1,24,3,0,4870,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1,10
0,1,12,2,8,902,1,4,4,4,1,4,2,21,3,1,1,3,1,1,1,10
0,2,18,4,0,884,1,5,4,3,1,4,3,36,3,2,1,3,2,2,1,10
0,1,21,1,0,1647,5,3,4,3,1,2,2,40,1,2,2,2,2,1,1,10
0,1,30,2,5,11998,1,2,1,1,1,1,4,34,1,2,1,2,1,2,1,10
0,2,12,2,2,2762,5,5,1,2,1,2,2,25,3,2,1,3,1,2,1,10
